vehicle_id,license_plate,company_id,vehicle_model,vehicle_color,carrying_capacity_kg,tare_weight_kg,created_at,updated_at
93fbd35e-3a77-4ec5-8148-747d4fd901fa,ABG6138,,,,,,2025-05-03 15:22:06.320110,2025-05-03 15:22:06.320111
0dc8bda7-5058-4fbf-8123-f96b34bcacd3,ABZ1426,,,,,,2025-05-03 15:22:06.320141,2025-05-03 15:22:06.320142
85c357b2-56ac-4c16-87cc-1d5afce7c976,AJC6724,,,,,,2025-05-03 15:22:06.320164,2025-05-03 15:22:06.320164
f6be76a5-89fc-46b1-ab92-46198b20a794,CAD0256,,,,,,2025-05-03 15:22:06.320227,2025-05-03 15:22:06.320228
5734d654-7fa6-41ba-b6ad-d9fe131df9a1,BAL9918,,,,,,2025-05-03 15:22:06.320246,2025-05-03 15:22:06.320247
c32d44be-f881-496a-a9dd-207297de5ebe,BAL8583,,,,,,2025-05-03 15:22:06.320284,2025-05-03 15:22:06.320284
cc87b9bd-dc58-4dd0-9ce4-710d1af8aa8f,BAF8640,,,,,,2025-05-03 15:22:06.320302,2025-05-03 15:22:06.320303
aac59c80-aacb-4976-ab0d-e5a3d87fecb1,ALX3321,,,,,,2025-05-03 15:22:06.320321,2025-05-03 15:22:06.320322
a1eef8a2-1d58-4385-b84d-5bc5763f518a,BAX0183,,,,,,2025-05-03 15:22:06.320340,2025-05-03 15:22:06.320340
c65a0ad9-0cf2-42d1-8eb0-37098bbff9d3,BAD9191,,,,,,2025-05-03 15:22:06.320358,2025-05-03 15:22:06.320359
00850ab5-73fc-4405-a79b-00a6a415048f,ABT1598,,,,,,2025-05-03 15:22:06.320377,2025-05-03 15:22:06.320378
e929ad77-a596-4cef-88a0-8c2f3f6b70b3,ABD3639,,,,,,2025-05-03 15:22:06.320396,2025-05-03 15:22:06.320396
b0a2eed5-c7fe-49ea-a4b6-3214a325f34e,ACF0001,,,,,,2025-05-03 15:22:06.320415,2025-05-03 15:22:06.320415
280fc00f-f5b9-454a-8d07-86a3fec31f9c,BLA4142,,,,,,2025-05-03 15:22:06.320433,2025-05-03 15:22:06.320433
89b8a5e1-b592-4e8c-8406-478410d8beb9,ALR8093,,,,,,2025-05-03 15:22:06.320452,2025-05-03 15:22:06.320452
6a6f5307-93a1-4411-ad45-89444d5c2a4d,BAK1167,,,,,,2025-05-03 15:22:06.320470,2025-05-03 15:22:06.320471
af48cda9-3612-4c6e-8eb5-14df3cc8045c,BAX4482,,,,,,2025-05-03 15:22:06.320489,2025-05-03 15:22:06.320489
f7c210ff-40fa-4173-b21b-53bf00f338fa,ABP8893,,,,,,2025-05-03 15:22:06.320507,2025-05-03 15:22:06.320508
8e347f12-7a71-4692-b1d0-1f0454a92376,BAT1550,,,,,,2025-05-03 15:22:06.320526,2025-05-03 15:22:06.320526
3b320fdf-05f7-4ab8-b463-81d0f3c29e2e,GRZ0680,,,,,,2025-05-03 15:22:06.320544,2025-05-03 15:22:06.320545
33ff9b46-072c-4ccc-9604-1318e09ad49a,CAA3996,,,,,,2025-05-03 15:22:06.320563,2025-05-03 15:22:06.320563
f22454e9-9832-474a-829f-ddf92d6c0f99,ABT1140,,,,,,2025-05-03 15:22:06.320583,2025-05-03 15:22:06.320584
9d260eaf-1b7e-4316-b9e2-2162825c5336,BAR2773,,,,,,2025-05-03 15:22:06.320602,2025-05-03 15:22:06.320603
28ea4a57-45e4-4d75-874c-c6a31d935bf1,AAF4414,,,,,,2025-05-03 15:22:06.320624,2025-05-03 15:22:06.320624
0adcdb45-ac71-4b0a-8c64-0c6c931ccd23,AAF1446,,,,,,2025-05-03 15:22:06.320642,2025-05-03 15:22:06.320643
3021949e-2533-440e-93ce-71e6780e9ec4,ACP9462,,,,,,2025-05-03 15:22:06.320660,2025-05-03 15:22:06.320661
c6360c9b-0d07-4649-bbf0-74ad100040b8,ACZ8941,,,,,,2025-05-03 15:22:06.320678,2025-05-03 15:22:06.320679
3db55947-156d-4db4-bc19-fd56b044d1f5,AAM4357,,,,,,2025-05-03 15:22:06.320697,2025-05-03 15:22:06.320697
a05d7083-013a-4a80-8fe2-6d366fc4a556,AAB5121,,,,,,2025-05-03 15:22:06.320715,2025-05-03 15:22:06.320715
29267318-32b8-45f9-acc0-d1008e0d308e,GRZ0680,,,,,,2025-05-03 15:22:06.320733,2025-05-03 15:22:06.320733
b3905346-f913-4ad2-9df6-67e4a82bb3b8,ABR0694,,,,,,2025-05-03 15:22:06.320753,2025-05-03 15:22:06.320754
b01233ae-14cb-4df2-bed4-74d715527de5,AJB4023,,,,,,2025-05-03 15:22:06.320771,2025-05-03 15:22:06.320772
c47e43d2-16d6-4299-93f8-a6520cdb0472,AKB4088,,,,,,2025-05-03 15:22:06.320790,2025-05-03 15:22:06.320790
e462ea4a-4df4-4143-9f1c-befd9285b42b,BAB5347,,,,,,2025-05-03 15:22:06.320826,2025-05-03 15:22:06.320826
b85e7a7f-c6c5-4e36-87db-3a8cc23b4b43,ALP8086,,,,,,2025-05-03 15:22:06.320844,2025-05-03 15:22:06.320844
2a1c0736-5b51-4465-9c34-3bfe65621bbf,BLA6373,,,,,,2025-05-03 15:22:06.320862,2025-05-03 15:22:06.320862
2c6317c0-80b4-44fb-99fe-f70ad51f9863,GRZ0024,,,,,,2025-05-03 15:22:06.320880,2025-05-03 15:22:06.320880
47f2a1c9-3840-4036-b101-71159e3ec0b9,BAD9141,,,,,,2025-05-03 15:22:06.320898,2025-05-03 15:22:06.320899
a8383dfb-4895-4258-9ca4-2de6fd18634c,GRZ1349,,,,,,2025-05-03 15:22:06.320926,2025-05-03 15:22:06.320927
51eec21b-56ff-43a0-b893-e04ae04704c3,BAH5395,,,,,,2025-05-03 15:22:06.320945,2025-05-03 15:22:06.320946
cbdac9f0-08b6-4c5a-9686-2919b3fd640d,AAR4506,,,,,,2025-05-03 15:22:06.320964,2025-05-03 15:22:06.320965
a33649ab-6734-4e9e-8a67-1ad2778587d6,BBC1292,,,,,,2025-05-03 15:22:06.320983,2025-05-03 15:22:06.320983
b6f4cee6-f438-416d-993f-6a1ece7f09ba,CAA2882,,,,,,2025-05-03 15:22:06.321002,2025-05-03 15:22:06.321002
e6b28f75-90f2-4e1d-848c-c1a200ee720e,ABC4153,,,,,,2025-05-03 15:22:06.321020,2025-05-03 15:22:06.321021
01a716a0-c2f0-494e-a9a7-2d17b47b1598,ALF4410,,,,,,2025-05-03 15:22:06.321039,2025-05-03 15:22:06.321040
2e71e35e-9b54-49a4-b7cb-74bdac3ac104,BAD0932,,,,,,2025-05-03 15:22:06.321058,2025-05-03 15:22:06.321058
60058b65-7536-446a-8217-4f45fbb0e034,BAF8702,,,,,,2025-05-03 15:22:06.321076,2025-05-03 15:22:06.321077
6541d854-9053-4414-983e-95d2e175e1e9,ALJ3209,,,,,,2025-05-03 15:22:06.321099,2025-05-03 15:22:06.321100
7c159e32-4d77-4e3d-a0f6-dce8902476b0,GRZ0017,,,,,,2025-05-03 15:22:06.321118,2025-05-03 15:22:06.321119
971c03eb-b409-48d8-94f2-d991cc58ece1,AAL4221,,,,,,2025-05-03 15:22:06.321137,2025-05-03 15:22:06.321137
ae8786e4-6f1f-47cd-9683-4d2b6e29f13f,ACF0002,,,,,,2025-05-03 15:22:06.321155,2025-05-03 15:22:06.321156
6d4c771b-f015-4211-9a5c-ff307670c26e,AAJ7956,,,,,,2025-05-03 15:22:06.321174,2025-05-03 15:22:06.321174
ed677e7d-23d1-48c7-842e-bed1656b320c,ADC3188,,,,,,2025-05-03 15:22:06.321192,2025-05-03 15:22:06.321193
879af6de-e329-4588-88d5-7cec3ca1bb8f,BAV8490,,,,,,2025-05-03 15:22:06.321211,2025-05-03 15:22:06.321212
4aa493ce-4fe0-4d0d-9a55-dbc9697d7d56,AHB2177,,,,,,2025-05-03 15:22:06.321230,2025-05-03 15:22:06.321230
a831c525-9317-495e-aff3-79c6f978ebeb,ABA2986,,,,,,2025-05-03 15:22:06.321248,2025-05-03 15:22:06.321248
446a219c-6562-4b6c-9487-fdb13aa4303a,ACJ9948,,,,,,2025-05-03 15:22:06.321267,2025-05-03 15:22:06.321267
d1c8ff9e-fd9d-44cd-b77d-bfea197d8e03,BCC0615,,,,,,2025-05-03 15:22:06.321285,2025-05-03 15:22:06.321286
fbdeec96-2867-487f-9f41-61be33a878e3,AAF1546,,,,,,2025-05-03 15:22:06.321304,2025-05-03 15:22:06.321304
49ec94df-a70c-4f85-b132-be572ae5e8bd,BBA3332,,,,,,2025-05-03 15:22:06.321322,2025-05-03 15:22:06.321323
da54db67-5f61-42fb-b0c4-6fee8cbb938b,ABM9548,,,,,,2025-05-03 15:22:06.321360,2025-05-03 15:22:06.321360
6c6f129f-0254-4404-ac88-ed28dec72fd2,CAD1638,,,,,,2025-05-03 15:22:06.321378,2025-05-03 15:22:06.321379
57b7fc4c-e9f6-47fc-a474-7e22986a097a,ABG2626,,,,,,2025-05-03 15:22:06.321397,2025-05-03 15:22:06.321397
ce6df3b9-09d7-41ce-9697-e91cc54bfe6d,BBA0625,,,,,,2025-05-03 15:22:06.321414,2025-05-03 15:22:06.321415
ae2d03d8-882a-4f35-ae33-91013ae381f8,ABX1673,,,,,,2025-05-03 15:22:06.321450,2025-05-03 15:22:06.321451
a26a3d1a-c0a3-4987-bf56-87999d9ac4e5,AAP7332,,,,,,2025-05-03 15:22:06.321468,2025-05-03 15:22:06.321469
e01463e1-7a95-4344-8f69-7fe7f64eadc6,BAF0744,,,,,,2025-05-03 15:22:06.321486,2025-05-03 15:22:06.321487
71a061a1-d90b-407c-8b35-8517f9b420a9,ABP8893,,,,,,2025-05-03 15:22:06.321504,2025-05-03 15:22:06.321504
b247132a-4a4e-42e0-81b4-62223e960dba,GRZ0268,,,,,,2025-05-03 15:22:06.321522,2025-05-03 15:22:06.321522
910b3141-aa1f-4eaa-ba0d-3857f0f30bfe,ALR8093,,,,,,2025-05-03 15:22:06.321540,2025-05-03 15:22:06.321540
48606a59-02fc-4a6a-86da-9878629fa62a,AAP9020,,,,,,2025-05-03 15:22:06.321557,2025-05-03 15:22:06.321558
b01e8b91-d5f0-4e60-99b9-161245b95483,BLA6981,,,,,,2025-05-03 15:22:06.321595,2025-05-03 15:22:06.321595
9e26fadd-9f01-48da-b0ab-a7b371b5028b,BAT9373,,,,,,2025-05-03 15:22:06.321612,2025-05-03 15:22:06.321613
be71ee6c-ca94-425b-a658-3543b9a47ec2,GRZ0680,,,,,,2025-05-03 15:22:06.321630,2025-05-03 15:22:06.321631
e969da0a-23f5-4755-95dc-9f4c0c50c1f1,GRZ0001,,,,,,2025-05-03 15:22:06.321648,2025-05-03 15:22:06.321649
5d432965-30a8-4b1f-8546-2cb2203a62ec,BLA0273,,,,,,2025-05-03 15:22:06.321666,2025-05-03 15:22:06.321667
7fa096f8-4058-4346-9adb-9ecc552b9135,ALF2246,,,,,,2025-05-03 15:22:06.321684,2025-05-03 15:22:06.321684
7be5ebdc-e104-4ef2-a00c-6e84794e9e30,ALF8663,,,,,,2025-05-03 15:22:06.321738,2025-05-03 15:22:06.321738
2ce68229-cc93-4ef1-ac62-8129d3d84edd,AAT8907,,,,,,2025-05-03 15:22:06.321773,2025-05-03 15:22:06.321774
898dcd6d-4dbb-48e3-a3bc-52f84f104b44,BCC2897,,,,,,2025-05-03 15:22:06.321791,2025-05-03 15:22:06.321792
319b5cba-2757-4e2d-be4a-eca14516124e,AAF1445,,,,,,2025-05-03 15:22:06.321809,2025-05-03 15:22:06.321810
0a62d035-6a15-4635-9aa4-d74b80e80329,BBC3558,,,,,,2025-05-03 15:22:06.321827,2025-05-03 15:22:06.321828
b957235d-474c-4c1e-895b-0a5ae2abbfea,BAR1586,,,,,,2025-05-03 15:22:06.321845,2025-05-03 15:22:06.321846
c1269360-4a38-465d-b986-60b32c495749,GRZ0017,,,,,,2025-05-03 15:22:06.321867,2025-05-03 15:22:06.321867
fc58b641-dff6-4520-a2ef-e6d55d663b57,GRZ0022,,,,,,2025-05-03 15:22:06.321885,2025-05-03 15:22:06.321885
3f098ec8-942b-4050-abe3-62eda7d93fa4,AAT5473,,,,,,2025-05-03 15:22:06.321903,2025-05-03 15:22:06.321903
9ee36258-528a-4534-86cb-9d4360037ce3,BLB2449,,,,,,2025-05-03 15:22:06.321920,2025-05-03 15:22:06.321921
b7345d80-63bf-4673-873e-b735297ce03e,BAH6224,,,,,,2025-05-03 15:22:06.321938,2025-05-03 15:22:06.321939
7ad084da-cfd1-4800-8583-14e88dbed358,AAE0198,,,,,,2025-05-03 15:22:06.321956,2025-05-03 15:22:06.321957
d5d33dc4-d7f0-48ca-9f65-11a1337d5a0e,BAF8702,,,,,,2025-05-03 15:22:06.321974,2025-05-03 15:22:06.321974
f333c7cc-a0d2-44f7-832d-81efb08018a3,BLA4362,,,,,,2025-05-03 15:22:06.321992,2025-05-03 15:22:06.321992
00d646b7-751e-401c-ac25-9d4ecf2aa1b9,AAR0334,,,,,,2025-05-03 15:22:06.322010,2025-05-03 15:22:06.322010
b8208259-1f11-461e-9c5b-e670ed55222e,LRP5449,,,,,,2025-05-03 15:22:06.322028,2025-05-03 15:22:06.322028
cddcba9a-ff5b-4725-90ac-929ff7341dec,ALF0207,,,,,,2025-05-03 15:22:06.322046,2025-05-03 15:22:06.322046
09da3ba0-cc07-4597-bd1d-8c4ccdf6f124,AAX2142,,,,,,2025-05-03 15:22:06.322082,2025-05-03 15:22:06.322082
0b9af6e8-527e-4db1-815e-c225d2297fb8,ALX3321,,,,,,2025-05-03 15:22:06.322118,2025-05-03 15:22:06.322118
245fbc4c-e34f-4bba-8983-48790880c9fe,BCB1865,,,,,,2025-05-03 15:22:06.322136,2025-05-03 15:22:06.322136
d0b4536c-015a-4e83-b25b-7e7ba700355c,GRZ1349,,,,,,2025-05-03 15:22:06.322154,2025-05-03 15:22:06.322155
fa4f5bc2-3b5e-4f5b-ae87-236cbc99cbaa,RIC0007,,,,,,2025-05-03 15:22:06.322172,2025-05-03 15:22:06.322173
b51807de-7c3c-40d5-b7d0-fee133785814,AJF4410,,,,,,2025-05-03 15:22:06.322190,2025-05-03 15:22:06.322191
13ee5478-4eaf-451a-bdbe-d70a0fd65bbb,ALD0995,,,,,,2025-05-03 15:22:06.322208,2025-05-03 15:22:06.322209
7906f8d5-61da-4dd1-99b4-2e54a7a289ee,BAD6731,,,,,,2025-05-03 15:22:06.322226,2025-05-03 15:22:06.322226
26a7c6a7-1976-4c8a-8c51-a70fd75ce253,BAL9637,,,,,,2025-05-03 15:22:06.322244,2025-05-03 15:22:06.322244
9dea952b-da3e-480a-b578-f677052ff0f0,BBC0615,,,,,,2025-05-03 15:22:06.322262,2025-05-03 15:22:06.322262
b5d7b90a-39c5-4026-83bd-3d1625cdf0a9,ALM2365,,,,,,2025-05-03 15:22:06.322280,2025-05-03 15:22:06.322280
8eb89ce7-bb56-4317-bb53-9c21e8c7fbe3,BAF8640,,,,,,2025-05-03 15:22:06.322298,2025-05-03 15:22:06.322298
3243a129-e3aa-4656-87e5-de07bc5e39c3,AJE9108,,,,,,2025-05-03 15:22:06.322315,2025-05-03 15:22:06.322316
17721f51-1db8-4e52-b7eb-5ec605762888,ABH8685,,,,,,2025-05-03 15:22:06.322333,2025-05-03 15:22:06.322334
3c3264d4-42d5-4603-9579-0e89839ff8e6,BAC2067,,,,,,2025-05-03 15:22:06.322351,2025-05-03 15:22:06.322352
7f9f85b4-6022-4590-a0f2-3c0448d37f7a,GRZ0027,,,,,,2025-05-03 15:22:06.322405,2025-05-03 15:22:06.322405
352a127c-462b-4e73-a193-49d4252c7455,EKY0148,,,,,,2025-05-03 15:22:06.322441,2025-05-03 15:22:06.322441
ff46c4bf-df2b-4f9d-9f5c-f70d53ea0e55,ALR8093,,,,,,2025-05-03 15:22:06.322459,2025-05-03 15:22:06.322459
142a0fe3-34cf-4811-abcd-076f8718ca3d,BAG7839,,,,,,2025-05-03 15:22:06.322494,2025-05-03 15:22:06.322495
26ab5b77-2f27-4f45-9812-864ce4bfa33d,ABX8867,,,,,,2025-05-03 15:22:06.322531,2025-05-03 15:22:06.322532
6a16a9b0-725f-433e-937c-43fb34d50f23,ABR0694,,,,,,2025-05-03 15:22:06.322551,2025-05-03 15:22:06.322551
d857b039-b751-4b71-91e0-85fd62c4e625,GRZ0001,,,,,,2025-05-03 15:22:06.322570,2025-05-03 15:22:06.322570
0a020acf-9d0f-4015-bb44-e14d30987bdd,BAT1550,,,,,,2025-05-03 15:22:06.322589,2025-05-03 15:22:06.322590
a02064d9-5437-41f7-bac8-b3d975f20ea4,BAK1167,,,,,,2025-05-03 15:22:06.322608,2025-05-03 15:22:06.322609
e3311071-bcab-458b-9de0-e8e381be7823,ALP1638,,,,,,2025-05-03 15:22:06.322647,2025-05-03 15:22:06.322647
c1d4620d-a298-48cb-b4b0-a20f5398ad71,BAZ0328,,,,,,2025-05-03 15:22:06.322685,2025-05-03 15:22:06.322685
171f4938-6ebf-4f13-b977-833b1f24472b,ABV0191,,,,,,2025-05-03 15:22:06.322704,2025-05-03 15:22:06.322704
64ab31ab-eba3-4ccb-9029-1f581761d137,AZP3931,,,,,,2025-05-03 15:22:06.322761,2025-05-03 15:22:06.322762
907ec74c-08c1-4e0f-a016-49ca534a0c2a,ALP8086,,,,,,2025-05-03 15:22:06.322780,2025-05-03 15:22:06.322780
1d65ef2c-0776-4f7e-aaf3-605239903fcb,BAG0336,,,,,,2025-05-03 15:22:06.322799,2025-05-03 15:22:06.322799
20a4e6b4-309e-4895-b4b9-faad90934018,GRZ0017,,,,,,2025-05-03 15:22:06.322818,2025-05-03 15:22:06.322819
87c75427-7d3c-4231-aaf8-269b1549365f,ACP5715,,,,,,2025-05-03 15:22:06.322837,2025-05-03 15:22:06.322838
5d4188df-835d-4c9e-9270-bb4165e640a1,AAM0148,,,,,,2025-05-03 15:22:06.322856,2025-05-03 15:22:06.322857
72352261-46e8-454f-8332-04c76c5e7b52,AAF4414,,,,,,2025-05-03 15:22:06.322875,2025-05-03 15:22:06.322876
c610cc86-a677-481c-b717-f12b3b6cc78a,BAD2598,,,,,,2025-05-03 15:22:06.322895,2025-05-03 15:22:06.322895
5f28826d-e9d5-469a-8d9c-0cf97b495096,AJE6137,,,,,,2025-05-03 15:22:06.322914,2025-05-03 15:22:06.322914
22d4a6e7-4e8e-442d-888f-f3857be9dee2,GRZ0153,,,,,,2025-05-03 15:22:06.322933,2025-05-03 15:22:06.322933
3aa742be-5b5e-4f7d-8910-ef50d6469dad,GRZ0027,,,,,,2025-05-03 15:22:06.322952,2025-05-03 15:22:06.322952
f7193508-3dd9-42d5-90a8-605165d7b63e,BBC6187,,,,,,2025-05-03 15:22:06.322971,2025-05-03 15:22:06.322971
b712f5e5-e484-4d98-9995-9bde5f6c34c4,ACJ7842,,,,,,2025-05-03 15:22:06.322990,2025-05-03 15:22:06.322990
fdc2a248-c105-4b9a-bcd9-30d85ff3b879,ACG1767,,,,,,2025-05-03 15:22:06.323009,2025-05-03 15:22:06.323010
32b9dd89-0ef7-40cf-b84f-89fb58698af4,BAR1586,,,,,,2025-05-03 15:22:06.323028,2025-05-03 15:22:06.323029
7dddca4a-832d-46d9-9a17-5b56a4489821,AAB5121,,,,,,2025-05-03 15:22:06.323047,2025-05-03 15:22:06.323048
c7e1f6c3-4f63-4324-9b45-56565961d6e7,BAC2067,,,,,,2025-05-03 15:22:06.323065,2025-05-03 15:22:06.323065
86f7f4eb-7045-4953-ae7e-a56fc2cc3a34,AIC6428,,,,,,2025-05-03 15:22:06.323085,2025-05-03 15:22:06.323085
b353faf9-fd8b-467d-8cb9-24d20b6227cd,BLB5306,,,,,,2025-05-03 15:22:06.323103,2025-05-03 15:22:06.323103
f0c04c02-4fb4-4684-9853-9a5804e4741a,AAM4357,,,,,,2025-05-03 15:22:06.323121,2025-05-03 15:22:06.323121
2fa28261-464f-4538-aff3-277efa5a8005,BLB3022,,,,,,2025-05-03 15:22:06.323139,2025-05-03 15:22:06.323139
47b39b23-bb51-447d-a61d-11db06483c28,AAG5653,,,,,,2025-05-03 15:22:06.323157,2025-05-03 15:22:06.323157
2419b01e-e86d-420d-bec2-b30a3dd04e99,JOE0002,,,,,,2025-05-03 15:22:06.323193,2025-05-03 15:22:06.323193
93cc502f-9f12-427c-a061-d6c35014e6ff,ABM9548,,,,,,2025-05-03 15:22:06.323211,2025-05-03 15:22:06.323211
