vehicle_id,license_plate,company_id,carrying_capacity_kg,tare_weight_kg,created_at,updated_at,vehicle_model,vehicle_color,last_image_url
4b48c1af-171c-40c4-930f-ffd0fc1bd4dc,ABG6138,,,,2025-05-03 15:22:06.320110+00:00,2025-05-03 15:22:06.320111+00:00,,,
820d3b46-f2ab-4cef-802a-e3395b9472f0,ABZ1426,,,,2025-05-03 15:22:06.320141+00:00,2025-05-03 15:22:06.320142+00:00,,,
49f482f5-bb3a-4d74-8040-19f66d545fcb,AJC6724,,,,2025-05-03 15:22:06.320164+00:00,2025-05-03 15:22:06.320164+00:00,,,
bc46cdc7-a56f-4322-bcaa-d698be35ad22,CAD0256,,,,2025-05-03 15:22:06.320227+00:00,2025-05-03 15:22:06.320228+00:00,,,
350aa711-0fdd-47bc-8cf5-26ec5e2244a9,BAL9918,,,,2025-05-03 15:22:06.320246+00:00,2025-05-03 15:22:06.320247+00:00,,,
8b3454f1-5333-42f8-b463-5602918f18e4,BAF8640,,,,2025-05-03 15:22:06.320302+00:00,2025-05-03 15:22:06.320303+00:00,,,
b9d14cf0-1988-42f9-b309-0562b072ad21,ALX3321,,,,2025-05-03 15:22:06.320321+00:00,2025-05-03 15:22:06.320322+00:00,,,
f4343941-c132-41a4-8d83-f63c1d87ba60,BAX0183,,,,2025-05-03 15:22:06.320340+00:00,2025-05-03 15:22:06.320340+00:00,,,
baba252a-9e9d-4797-aefd-d8e06195536b,BAD9191,,,,2025-05-03 15:22:06.320358+00:00,2025-05-03 15:22:06.320359+00:00,,,
50c1632f-108d-4ae3-84d2-4124bd9fb055,ABT1598,,,,2025-05-03 15:22:06.320377+00:00,2025-05-03 15:22:06.320378+00:00,,,
2edca6c5-054e-4154-a457-930b0bacd8a5,ABD3639,,,,2025-05-03 15:22:06.320396+00:00,2025-05-03 15:22:06.320396+00:00,,,
eea3dad5-847e-411e-99c2-b6bceaeb6bd4,ACF0001,,,,2025-05-03 15:22:06.320415+00:00,2025-05-03 15:22:06.320415+00:00,,,
e1ea7c01-d288-4b15-bd60-70f7838f85bd,BLA4142,,,,2025-05-03 15:22:06.320433+00:00,2025-05-03 15:22:06.320433+00:00,,,
9a160642-64cf-4034-a326-9448a3fda9ac,ALR8093,,,,2025-05-03 15:22:06.320452+00:00,2025-05-03 15:22:06.320452+00:00,,,
974d0777-4a65-4101-b29b-1fa0c9452d0e,BAK1167,,,,2025-05-03 15:22:06.320470+00:00,2025-05-03 15:22:06.320471+00:00,,,
a02d8f1a-fe27-4dad-982c-cad4d86ae685,BAX4482,,,,2025-05-03 15:22:06.320489+00:00,2025-05-03 15:22:06.320489+00:00,,,
600a1495-ad04-49e3-bd33-ec687431b4e4,ABP8893,,,,2025-05-03 15:22:06.320507+00:00,2025-05-03 15:22:06.320508+00:00,,,
0fe3b287-d2e9-4d3f-8e72-ee4fc798bbd8,BAT1550,,,,2025-05-03 15:22:06.320526+00:00,2025-05-03 15:22:06.320526+00:00,,,
fcb3c88d-0ec1-4f02-890e-b84ead507369,GRZ0680,,,,2025-05-03 15:22:06.320544+00:00,2025-05-03 15:22:06.320545+00:00,,,
fc5aebaa-dfd4-4a14-898d-8ee0f7c8afad,CAA3996,,,,2025-05-03 15:22:06.320563+00:00,2025-05-03 15:22:06.320563+00:00,,,
959e959b-9dd5-45ef-9f2d-080b6b114ca0,ABT1140,,,,2025-05-03 15:22:06.320583+00:00,2025-05-03 15:22:06.320584+00:00,,,
4702e02e-6402-435c-8adf-f7d3898a42f8,BAR2773,,,,2025-05-03 15:22:06.320602+00:00,2025-05-03 15:22:06.320603+00:00,,,
ffce785c-4f46-4530-90c5-4bee15a69275,AAF4414,,,,2025-05-03 15:22:06.320624+00:00,2025-05-03 15:22:06.320624+00:00,,,
b9d2d3d8-b3d2-4064-96be-bb48aae885b4,AAF1446,,,,2025-05-03 15:22:06.320642+00:00,2025-05-03 15:22:06.320643+00:00,,,
a020bba6-ce7c-4665-9d0d-32a8a2cf7b6f,ACP9462,,,,2025-05-03 15:22:06.320660+00:00,2025-05-03 15:22:06.320661+00:00,,,
b9b79767-d6dd-496c-baa2-49d73e8ca922,ACZ8941,,,,2025-05-03 15:22:06.320678+00:00,2025-05-03 15:22:06.320679+00:00,,,
19c28abf-2163-4531-befd-f9de207278cd,AAM4357,,,,2025-05-03 15:22:06.320697+00:00,2025-05-03 15:22:06.320697+00:00,,,
b9f8a3f3-fcec-4670-9f39-e4c21e5c0037,AAB5121,,,,2025-05-03 15:22:06.320715+00:00,2025-05-03 15:22:06.320715+00:00,,,
b221f839-8147-4403-a252-e3ab854e0b35,ABR0694,,,,2025-05-03 15:22:06.320753+00:00,2025-05-03 15:22:06.320754+00:00,,,
31817659-6651-44e8-b204-527d14f736ad,AJB4023,,,,2025-05-03 15:22:06.320771+00:00,2025-05-03 15:22:06.320772+00:00,,,
ad6fcb2b-c881-467a-af2d-6134af050790,AKB4088,,,,2025-05-03 15:22:06.320790+00:00,2025-05-03 15:22:06.320790+00:00,,,
ff45fedc-c6cc-4491-9221-070812b037d2,ALP8086,,,,2025-05-03 15:22:06.320844+00:00,2025-05-03 15:22:06.320844+00:00,,,
0fa8bd40-c413-413b-a5b3-9a7e7ca0c042,BLA6373,,,,2025-05-03 15:22:06.320862+00:00,2025-05-03 15:22:06.320862+00:00,,,
d5984ee0-75f3-44ea-9e61-2bdb02c6621a,GRZ0024,,,,2025-05-03 15:22:06.320880+00:00,2025-05-03 15:22:06.320880+00:00,,,
bd514fdb-20f7-455f-a9ee-af7bd3ac5793,BAD9141,,,,2025-05-03 15:22:06.320898+00:00,2025-05-03 15:22:06.320899+00:00,,,
183ce712-6e49-4ad9-94f3-d28a5d43a5f4,GRZ1349,,,,2025-05-03 15:22:06.320926+00:00,2025-05-03 15:22:06.320927+00:00,,,
b87c3b73-071f-49e7-ae23-f67953b676fd,BAH5395,,,,2025-05-03 15:22:06.320945+00:00,2025-05-03 15:22:06.320946+00:00,,,
5faf3783-5ad4-43bc-b84d-cffbeec9129b,AAR4506,,,,2025-05-03 15:22:06.320964+00:00,2025-05-03 15:22:06.320965+00:00,,,
f6ca678e-98ba-4bad-ba84-9378db901091,BBC1292,,,,2025-05-03 15:22:06.320983+00:00,2025-05-03 15:22:06.320983+00:00,,,
726e35d4-e5cd-43da-979c-5d29adb2b104,CAA2882,,,,2025-05-03 15:22:06.321002+00:00,2025-05-03 15:22:06.321002+00:00,,,
95237755-0d1d-45f3-bbc8-5b6a08a52975,ABC4153,,,,2025-05-03 15:22:06.321020+00:00,2025-05-03 15:22:06.321021+00:00,,,
572c3624-4833-47c3-8d45-2a93cb399860,ALF4410,,,,2025-05-03 15:22:06.321039+00:00,2025-05-03 15:22:06.321040+00:00,,,
dbffbeac-1eb8-4841-8600-9747aaf169f3,BAD0932,,,,2025-05-03 15:22:06.321058+00:00,2025-05-03 15:22:06.321058+00:00,,,
